# Exemple : Banque avec grille par année ()
# Usage : python manage.py load_tarification --banque=NOUVELLE_BANQUE --produit=emprunteur --fichier=grilles/exemple_emprunteur_par_annee.csv
tranche_age,age_min,age_max,duree,taux,frais_accessoires
29 ans et moins,0,29,1,0.0016,2500
29 ans et moins,0,29,2,0.0030,2500
29 ans et moins,0,29,3,0.0046,2500
30 ans - 39 ans,30,39,1,0.0026,2500
30 ans - 39 ans,30,39,2,0.0051,2500
30 ans - 39 ans,30,39,3,0.0078,2500
40 ans - 49 ans,40,49,1,0.0054,2500
40 ans - 49 ans,40,49,2,0.0106,2500
40 ans - 49 ans,40,49,3,0.0161,2500
50 ans - 59 ans,50,59,1,0.0100,2500
50 ans - 59 ans,50,59,2,0.0197,2500
50 ans - 59 ans,50,59,3,0.0300,2500
60 ans - 62 ans,60,62,1,0.0153,2500
60 ans - 62 ans,60,62,2,0.0302,2500
60 ans - 62 ans,60,62,3,0.0459,2500
63 ans,63,63,1,0.0153,2500
63 ans,63,63,2,0.0302,2500
64 ans,64,64,1,0.0153,2500

29 ans et moins,0,29,1,0.0016,2500
29 ans et moins,0,29,2,0.0031,2500
29 ans et moins,0,29,3,0.0047,2500
30 ans - 39 ans,30,39,1,0.0026,2500
30 ans - 39 ans,30,39,2,0.0052,2500
30 ans - 39 ans,30,39,3,0.0080,2500
40 ans - 49 ans,40,49,1,0.0055,2500
40 ans - 49 ans,40,49,2,0.0108,2500
40 ans - 49 ans,40,49,3,0.0165,2500
50 ans - 59 ans,50,59,1,0.0101,2500
50 ans - 59 ans,50,59,2,0.0200,2500
50 ans - 59 ans,50,59,3,0.0308,2500
60 ans - 62 ans,60,62,1,0.0154,2500
60 ans - 62 ans,60,62,2,0.0307,2500
60 ans - 62 ans,60,62,3,0.0471,2500
63 ans,63,63,1,0.0154,2500
63 ans,63,63,2,0.0307,2500
64 ans,64,64,1,0.0154,2500
