# Grille CLIENTS Express Union - Convention Emprunteur 08/06/2018
# Taux d'intérêt annuel max 16%, taxes 18.90%
# Usage : python manage.py load_tarification --banque=EXPRESS_UNION --produit=emprunteur --fichier=grilles/emprunteur_express_union_client.csv
tranche_age,age_min,age_max,duree,taux,frais_accessoires
29 ans et moins,18,29,1,0.160,2500
29 ans et moins,18,29,2,0.310,2500
29 ans et moins,18,29,3,0.470,2500
29 ans et moins,18,29,4,0.630,2500
30 ans - 39 ans,30,39,1,0.260,2500
30 ans - 39 ans,30,39,2,0.520,2500
30 ans - 39 ans,30,39,3,0.800,2500
30 ans - 39 ans,30,39,4,1.110,2500
40 ans - 49 ans,40,49,1,0.550,2500
40 ans - 49 ans,40,49,2,1.080,2500
40 ans - 49 ans,40,49,3,1.650,2500
40 ans - 49 ans,40,49,4,2.250,2500
50 ans - 59 ans,50,59,1,1.010,2500
50 ans - 59 ans,50,59,2,2.000,2500
50 ans - 59 ans,50,59,3,3.080,2500
50 ans - 59 ans,50,59,4,4.250,2500
60 ans,60,60,1,1.540,2500
60 ans,60,60,2,3.070,2500
60 ans,60,60,3,4.710,2500
60 ans,60,60,4,6.460,2500
61 ans,61,61,1,1.540,2500
61 ans,61,61,2,3.070,2500
61 ans,61,61,3,4.710,2500
62 ans,62,62,1,1.540,2500
62 ans,62,62,2,3.070,2500
63 ans,63,63,1,1.540,2500
63 ans,63,63,2,3.070,2500
64 ans,64,64,1,1.540,2500
