,age,duree_paiement,montant,duree_rente,type_prime,produit
0,20,5,64105.53637819914,3,ANNUELLE,100k
1,21,5,64119.97462983249,3,ANNUELLE,100k
2,22,5,64135.04559923427,3,ANNUELLE,100k
3,23,5,64152.78778947484,3,ANNUELLE,100k
4,24,5,64172.790999619494,3,ANNUELLE,100k
5,25,5,64195.61637605189,3,ANNUELLE,100k
6,26,5,64218.80176322018,3,ANNUELLE,100k
7,27,5,64242.05888373318,3,ANNUELLE,100k
8,28,5,64267.03313151944,3,ANNUELLE,100k
9,29,5,64295.08112781647,3,ANNUELLE,100k
10,30,5,64330.723132692314,3,ANNUELLE,100k
11,31,5,64379.16401049688,3,ANNUELLE,100k
12,32,5,64439.23509960904,3,ANNUELLE,100k
13,33,5,64509.35624942676,3,ANNUELLE,100k
14,34,5,64585.47968897631,3,ANNUELLE,100k
15,35,5,64672.20591870413,3,ANNUELLE,100k
16,36,5,64769.77331244887,3,ANNUELLE,100k
17,37,5,64882.95675643724,3,ANNUELLE,100k
18,38,5,65013.117611133915,3,ANNUELLE,100k
19,39,5,65159.89464963125,3,ANNUELLE,100k
20,40,5,65321.96216289041,3,ANNUELLE,100k
21,41,5,65492.51318345677,3,ANNUELLE,100k
22,42,5,65672.5434572554,3,ANNUELLE,100k
23,43,5,65857.45824157803,3,ANNUELLE,100k
24,44,5,66043.79837957883,3,ANNUELLE,100k
25,45,5,66226.57952139094,3,ANNUELLE,100k
26,46,5,66405.7989317355,3,ANNUELLE,100k
27,47,5,66585.2201483513,3,ANNUELLE,100k
28,48,5,66769.22250020374,3,ANNUELLE,100k
29,49,5,66961.67006615944,3,ANNUELLE,100k
30,50,5,67167.4094365177,3,ANNUELLE,100k
31,51,5,67384.77390630888,3,ANNUELLE,100k
32,52,5,67615.62159647435,3,ANNUELLE,100k
33,53,5,67868.72499258738,3,ANNUELLE,100k
34,54,5,68155.0838083251,3,ANNUELLE,100k
35,55,5,68495.38240131906,3,ANNUELLE,100k
36,56,5,68913.83118109408,3,ANNUELLE,100k
37,57,5,69398.9620780714,3,ANNUELLE,100k
38,58,5,69953.61720101595,3,ANNUELLE,100k
39,59,5,70554.35364884899,3,ANNUELLE,100k
40,60,5,71220.24204748802,3,ANNUELLE,100k
41,20,6,52750.457200420315,3,ANNUELLE,100k
42,21,6,52767.75125369279,3,ANNUELLE,100k
43,22,6,52786.070365419815,3,ANNUELLE,100k
44,23,6,52807.259198289554,3,ANNUELLE,100k
45,24,6,52830.85122473157,3,ANNUELLE,100k
46,25,6,52857.109050681094,3,ANNUELLE,100k
47,26,6,52883.84262081371,3,ANNUELLE,100k
48,27,6,52911.61822712497,3,ANNUELLE,100k
49,28,6,52942.78177151132,3,ANNUELLE,100k
50,29,6,52979.014878309965,3,ANNUELLE,100k
51,30,6,53024.359148193376,3,ANNUELLE,100k
52,31,6,53083.771720147444,3,ANNUELLE,100k
53,32,6,53155.88958681176,3,ANNUELLE,100k
54,33,6,53239.47261615112,3,ANNUELLE,100k
55,34,6,53331.140264761765,3,ANNUELLE,100k
56,35,6,53435.92947345345,3,ANNUELLE,100k
57,36,6,53554.43225974719,3,ANNUELLE,100k
58,37,6,53690.72737976152,3,ANNUELLE,100k
59,38,6,53845.91549554698,3,ANNUELLE,100k
60,39,6,54019.25727419426,3,ANNUELLE,100k
61,40,6,54208.98627885874,3,ANNUELLE,100k
62,41,6,54407.70076403759,3,ANNUELLE,100k
63,42,6,54615.536186457655,3,ANNUELLE,100k
64,43,6,54827.662915945446,3,ANNUELLE,100k
65,44,6,55040.733807493656,3,ANNUELLE,100k
66,45,6,55250.446214500524,3,ANNUELLE,100k
67,46,6,55457.82894362783,3,ANNUELLE,100k
