,age,duree_paiement,taux,duree_rente,type_prime,produit
0,20,5,0.05554198333903708,3,MENSUEL,NSIA-ETUDES
1,21,5,0.055558131527770664,3,MENSUEL,NSIA-ETUDES
2,22,5,0.055570644679186265,3,MENSUEL,NSIA-ETUDES
3,23,5,0.055583706186001114,3,MENSUEL,NSIA-ETUDES
4,24,5,0.05559908275087628,3,MENSUEL,NSIA-ETUDES
5,25,5,0.055616418866334984,3,MENSUEL,NSIA-ETUDES
6,26,5,0.055636200859243076,3,MENSUEL,NSIA-ETUDES
7,27,5,0.05565629486145559,3,MENSUEL,NSIA-ETUDES
8,28,5,0.055676451032566854,3,MENSUEL,NSIA-ETUDES
9,29,5,0.0556980953806483,3,MENSUEL,NSIA-ETUDES
10,30,5,0.05572240364410569,3,MENSUEL,NSIA-ETUDES
11,31,5,0.05575329338166475,3,MENSUEL,NSIA-ETUDES
12,32,5,0.05579527547576205,3,MENSUEL,NSIA-ETUDES
13,33,5,0.05584733708632592,3,MENSUEL,NSIA-ETUDES
14,34,5,0.05590810874950127,3,MENSUEL,NSIA-ETUDES
15,35,5,0.05597408239711088,3,MENSUEL,NSIA-ETUDES
16,36,5,0.056049245129541646,3,MENSUEL,NSIA-ETUDES
17,37,5,0.056133803537453744,3,MENSUEL,NSIA-ETUDES
18,38,5,0.05623189585557698,3,MENSUEL,NSIA-ETUDES
19,39,5,0.056344701929647474,3,MENSUEL,NSIA-ETUDES
20,40,5,0.05647190869634516,3,MENSUEL,NSIA-ETUDES
21,41,5,0.05661236720783647,3,MENSUEL,NSIA-ETUDES
22,42,5,0.05676017809232731,3,MENSUEL,NSIA-ETUDES
23,43,5,0.05691620432961941,3,MENSUEL,NSIA-ETUDES
24,44,5,0.05707646380936569,3,MENSUEL,NSIA-ETUDES
25,45,5,0.05723795859563307,3,MENSUEL,NSIA-ETUDES
26,46,5,0.05739636891853686,3,MENSUEL,NSIA-ETUDES
27,47,5,0.05755169240750216,3,MENSUEL,NSIA-ETUDES
28,48,5,0.05770719079523586,3,MENSUEL,NSIA-ETUDES
29,49,5,0.05786665950017465,3,MENSUEL,NSIA-ETUDES
30,50,5,0.0580334473906696,3,MENSUEL,NSIA-ETUDES
31,51,5,0.0582117548449801,3,MENSUEL,NSIA-ETUDES
32,52,5,0.05840013738546578,3,MENSUEL,NSIA-ETUDES
33,53,5,0.058600205383609154,3,MENSUEL,NSIA-ETUDES
34,54,5,0.058819561660240466,3,MENSUEL,NSIA-ETUDES
35,55,5,0.059067739300546485,3,MENSUEL,NSIA-ETUDES
36,56,5,0.0593626647478079,3,MENSUEL,NSIA-ETUDES
37,57,5,0.05972532035694625,3,MENSUEL,NSIA-ETUDES
38,58,5,0.060145767134326594,3,MENSUEL,NSIA-ETUDES
39,59,5,0.06062646824087852,3,MENSUEL,NSIA-ETUDES
40,60,5,0.06114710649566717,3,MENSUEL,NSIA-ETUDES
41,20,6,0.0456989571248654,3,MENSUEL,NSIA-ETUDES
42,21,6,0.04571706290702928,3,MENSUEL,NSIA-ETUDES
43,22,6,0.04573205108653211,3,MENSUEL,NSIA-ETUDES
44,23,6,0.04574792765002885,3,MENSUEL,NSIA-ETUDES
45,24,6,0.04576629130518264,3,MENSUEL,NSIA-ETUDES
46,25,6,0.04578673772809906,3,MENSUEL,NSIA-ETUDES
47,26,6,0.045809494510588626,3,MENSUEL,NSIA-ETUDES
48,27,6,0.04583266360470357,3,MENSUEL,NSIA-ETUDES
49,28,6,0.045856735796839986,3,MENSUEL,NSIA-ETUDES
50,29,6,0.0458837442019748,3,MENSUEL,NSIA-ETUDES
51,30,6,0.04591514622786699,3,MENSUEL,NSIA-ETUDES
52,31,6,0.04595444459509927,3,MENSUEL,NSIA-ETUDES
53,32,6,0.04600593549079279,3,MENSUEL,NSIA-ETUDES
54,33,6,0.046068437641901896,3,MENSUEL,NSIA-ETUDES
55,34,6,0.04614087626732934,3,MENSUEL,NSIA-ETUDES
56,35,6,0.0462203215627919,3,MENSUEL,NSIA-ETUDES
57,36,6,0.04631113887699132,3,MENSUEL,NSIA-ETUDES
58,37,6,0.04641384129177926,3,MENSUEL,NSIA-ETUDES
59,38,6,0.04653196372912501,3,MENSUEL,NSIA-ETUDES
60,39,6,0.04666646009613909,3,MENSUEL,NSIA-ETUDES
61,40,6,0.04681668963763338,3,MENSUEL,NSIA-ETUDES
62,41,6,0.046981121441675926,3,MENSUEL,NSIA-ETUDES
63,42,6,0.047153340662164235,3,MENSUEL,NSIA-ETUDES
64,43,6,0.047333464694928315,3,MENSUEL,NSIA-ETUDES
65,44,6,0.04751730786048441,3,MENSUEL,NSIA-ETUDES
66,45,6,0.04770196929982618,3,MENSUEL,NSIA-ETUDES
67,46,6,0.04788372005256547,3,MENSUEL,NSIA-ETUDES
68,47,6,0.04806345175114246,3,MENSUEL,NSIA-ETUDES
69,48,6,0.048244797830499134,3,MENSUEL,NSIA-ETUDES
70,49,6,0.048431753172645135,3,MENSUEL,NSIA-ETUDES
71,50,6,0.048627792094589256,3,MENSUEL,NSIA-ETUDES
72,51,6,0.048836743501854234,3,MENSUEL,NSIA-ETUDES
73,52,6,0.04905873743453787,3,MENSUEL,NSIA-ETUDES
74,53,6,0.04929899392441889,3,MENSUEL,NSIA-ETUDES
75,54,6,0.04956712809441778,3,MENSUEL,NSIA-ETUDES
76,55,6,0.04987418014556647,3,MENSUEL,NSIA-ETUDES
77,56,6,0.05023680173211237,3,MENSUEL,NSIA-ETUDES
78,57,6,0.050675911301776295,3,MENSUEL,NSIA-ETUDES
79,58,6,0.051179317634943204,3,MENSUEL,NSIA-ETUDES
80,59,6,0.051749086563372834,3,MENSUEL,NSIA-ETUDES
81,60,6,0.0523675883004475,3,MENSUEL,NSIA-ETUDES
82,20,7,0.038704731291518246,3,MENSUEL,NSIA-ETUDES
83,21,7,0.038725056584165966,3,MENSUEL,NSIA-ETUDES
84,22,7,0.03874262977774684,3,MENSUEL,NSIA-ETUDES
